res1,res2,delta,Cscore,Real
58,73,15,21.65525703430176,True
13,121,108,21.62319145202637,True
36,56,20,21.184487915039064,True
10,116,106,18.16294412612915,True
4,107,103,16.135311603546143,True
135,154,19,15.13740234375,True
78,103,25,15.06361894607544,True
41,91,50,14.981938457489013,True
38,92,54,14.105702781677246,True
75,84,9,13.968652629852295,True
110,128,18,13.822361850738526,True
114,154,40,13.672674083709717,True
109,155,46,13.453923273086549,True
40,59,19,13.370552253723144,True
26,151,125,13.35915298461914,True
62,99,37,12.8357403755188,True
138,152,14,12.810268592834472,True
136,157,21,12.779137134552002,True
47,72,25,12.643816661834716,True
3,90,87,12.54784107208252,True
16,120,104,12.447946643829345,False
48,68,20,12.18578929901123,False
143,150,7,12.124654579162598,True
64,98,34,12.101691722869873,False
25,146,121,12.04621238708496,True
31,94,63,11.234839582443238,True
3,111,108,11.167813587188721,True
134,159,25,10.72215394973755,True
11,118,107,10.012511062622071,False
13,124,111,9.795773887634278,True
63,76,13,9.782299137115478,True
79,106,27,9.666539621353149,False
38,90,52,9.659657764434815,True
30,111,81,9.63260202407837,False
93,103,10,9.38355212211609,True
111,155,44,9.189871311187744,True
116,152,36,9.103620982170105,False
6,112,106,9.06530532836914,True
39,58,19,9.040652132034301,True
10,118,108,9.033342933654785,True
109,157,48,8.796921730041504,True
41,81,40,8.53741226196289,True
26,147,121,8.440499877929687,True
53,59,6,8.410332822799683,True
30,155,125,8.361164474487305,False
6,125,119,8.29032485485077,True
141,151,10,8.25840096473694,True
9,119,110,8.19946756362915,True
8,114,106,8.195312595367431,True
35,57,22,8.010538983345032,True
5,92,87,7.896931457519531,True
97,123,26,7.891894054412842,True
63,68,5,7.858723044395447,False
59,94,35,7.789646577835083,False
135,156,21,7.602637052536011,True
42,50,8,7.412479639053345,True
20,28,8,7.330858850479126,False
60,75,15,7.276965141296387,True
30,153,123,7.07270359992981,True
40,94,54,7.037377178668976,True
34,111,77,6.95687837600708,True
23,28,5,6.940859174728393,False
61,72,11,6.936691665649414,True
140,152,12,6.912867450714112,True
45,98,53,6.909114599227905,False
137,155,18,6.886754894256592,True
63,74,11,6.862194669246674,True
138,154,16,6.786705398559571,True
60,85,25,6.631937837600708,True
18,49,31,6.624037283658981,False
66,76,10,6.616310167312622,False
144,149,5,6.570173335075379,False
3,92,89,6.523979711532593,True
32,55,23,6.48704879283905,False
81,103,22,6.405424237251282,False
3,109,106,6.362842321395874,True
8,112,104,6.257756471633911,True
39,88,49,6.252087783813477,True
24,144,120,6.245916938781738,False
41,60,19,6.10427577495575,True
8,110,102,6.031614542007446,False
1,108,107,5.781442511081695,True
75,81,6,5.739373111724854,True
50,59,9,5.55879936516285,False
8,125,117,5.4173928022384645,True
4,100,96,5.353720474243164,True
26,144,118,5.298556113243103,False
119,149,30,5.282700681686402,False
18,123,105,5.234723854064941,False
78,102,24,5.132692766189575,True
93,99,6,5.130784964561462,True
62,103,41,5.122673058509827,False
134,157,23,5.026062536239624,True
53,71,18,5.012312412261963,True
5,34,29,4.952953267097473,True
104,128,24,4.949767744541168,True
2,91,89,4.904394745826721,True
27,153,126,4.857647806406021,False
85,91,6,4.851286506652832,True
78,106,28,4.817941665649414,False
12,127,115,4.744670820236206,True
12,114,102,4.7387977838516235,False
62,102,40,4.725795030593872,True
51,59,8,4.680941271781921,False
142,150,8,4.52878704071045,True
100,125,25,4.491688811779023,True
64,99,35,4.481422698497772,False
27,154,127,4.329027736186982,False
116,150,34,4.288658452033997,True
4,103,99,4.27458508014679,True
82,91,9,4.245907008647919,True
1,90,89,4.2263495236635205,True
90,109,19,4.183671545982361,True
25,148,123,4.15083464384079,False
62,81,19,4.123076975345612,True
82,106,24,4.043932557106018,False
112,156,44,3.9883148312568664,True
16,122,106,3.982238841056824,True
26,141,115,3.969290030002594,True
21,121,100,3.94385347366333,False
2,107,105,3.9432180881500245,True
1,81,80,3.9429503262042997,False
114,156,42,3.892597961425781,False
30,137,107,3.7737437009811403,False
1,142,141,3.762444633245468,False
53,72,19,3.7374630212783813,True
65,76,11,3.7364911526441573,False
53,61,8,3.719063603878021,False
9,117,108,3.703821635246277,True
26,142,116,3.7018314599990845,False
26,145,119,3.675209605693817,False
140,150,10,3.6699978709220886,True
38,89,51,3.645585370063782,False
52,59,7,3.6170321732759474,False
117,149,32,3.613871455192566,True
114,130,16,3.5865521669387816,False
92,111,19,3.5357799172401427,True
9,121,112,3.4992061853408813,False
90,111,21,3.4348915100097654,False
143,148,5,3.4220558434724806,True
6,110,104,3.4200616836547852,True
4,125,121,3.3577207148075106,False
111,153,42,3.3506167948246004,False
22,119,97,3.3409826189279554,True
37,56,19,3.3160894393920897,True
19,153,134,3.2928687810897825,False
101,126,25,3.2623852252960206,True
68,74,6,3.2513672202825545,False
114,152,38,3.232239067554474,True
132,158,26,3.206680703163147,True
9,118,109,3.193761146068573,True
6,14,8,3.1405466228723524,True
20,97,77,3.1296715438365936,False
33,139,106,3.127536344528198,False
2,93,91,3.095731961727142,True
113,153,40,3.058130019903183,True
21,119,98,3.0501677811145784,True
75,85,10,3.0492032408714294,False
16,21,5,3.047851264476776,False
58,84,26,3.03350967168808,True
21,100,79,3.002464917302132,False
41,103,62,2.9914606332778932,True
136,155,19,2.9900256156921388,True
7,22,15,2.9680559813976286,False
73,84,11,2.967683565616608,True
27,146,119,2.938481903076172,False
