epoch,lr,loss,acc
0,0.0035625,tensor(2.0407),0.44534991184870404
1,0.005853661322385587,tensor(1.4116),0.5786101378892597
2,0.004779494455636703,tensor(1.2583),0.6244492614478395
3,0.004139163615828262,tensor(1.1670),0.6500509287181654
4,0.003702180485994327,tensor(1.1079),0.6652046839396158
5,0.0033796129402242194,tensor(1.0628),0.6770425051973578
6,0.003128913589510993,tensor(1.0217),0.6870505015055338
7,0.0029268306611927937,tensor(0.9863),0.6952199005244071
8,0.0027594424105521747,tensor(0.9562),0.701622628329093
9,0.002617836926823097,tensor(0.9260),0.7086865692807917
