epoch,lr,loss,acc
0,0.004121127958723669,tensor(1.6728),0.5444479736944904
1,0.0029140775257509807,tensor(1.3381),0.6337582292764083
2,0.002379334336334003,tensor(1.2623),0.6536573635495228
3,0.0020605639793618343,tensor(1.2154),0.6651300295539524
4,0.0018430244519362141,tensor(1.1797),0.6738235012344692
5,0.0016824434439317673,tensor(1.1529),0.6805250116016553
6,0.0015576399571225839,tensor(1.1306),0.6852671918661698
7,0.0014570387628754903,tensor(1.1131),0.689118975919226
8,0.0013737093195745564,tensor(1.0974),0.6922683031662651
9,0.0013032150878567173,tensor(1.0856),0.6941022523071455
