res1,res2,delta,Cscore,Real
6,112,106,-0.12179083191648125,True
8,114,106,-0.13983349241752177,True
5,111,106,-0.14563636142969133,True
3,109,106,-0.14706550889313222,True
10,118,108,-0.14886408218204977,True
10,116,106,-0.1510231078913808,True
134,158,24,-0.15452809890851377,True
7,114,107,-0.15455916257441044,False
4,110,106,-0.15531658956646918,True
5,110,105,-0.15609210806727408,True
110,156,46,-0.15617668212413788,True
3,108,105,-0.15791365498065948,True
4,109,105,-0.15932639341831206,True
135,157,22,-0.16073790510654448,False
135,156,21,-0.1622009477774799,True
41,60,19,-0.16289272958040238,True
136,156,20,-0.1659422992900014,True
111,156,45,-0.16617817081205546,False
3,110,107,-0.16801183342456819,True
6,111,105,-0.1689201013201475,True
39,58,19,-0.16920606069266797,True
10,117,107,-0.16936259345203636,True
111,155,44,-0.16937025223866103,True
5,112,107,-0.1707026358127594,True
7,113,106,-0.1724500045800209,True
41,93,52,-0.17278009315013884,True
13,121,108,-0.17320087829172612,True
136,155,19,-0.17348836556464434,True
40,60,20,-0.1766037003195286,True
4,108,104,-0.1767846463394165,False
6,113,107,-0.17905222195148468,True
9,116,107,-0.17979450739264488,False
139,153,14,-0.1804960606005788,True
36,56,20,-0.18058232759833337,True
137,155,18,-0.18086635577984153,True
7,112,105,-0.18123506108641624,True
110,157,47,-0.18125851767003537,False
134,157,23,-0.18181681837569924,True
113,153,40,-0.18714276171967387,True
42,94,52,-0.1875771207523346,True
112,154,42,-0.18768109380677342,True
138,153,15,-0.18827820758774877,True
40,59,19,-0.18941230735063552,True
8,115,107,-0.19176158429548146,True
41,61,20,-0.1942400393819809,True
116,150,34,-0.1946117017275095,True
110,158,48,-0.1946183410310745,False
136,157,21,-0.19500710220694542,True
109,157,48,-0.19529483030974865,True
11,118,107,-0.19574700692117214,False
112,155,43,-0.19771834388807416,True
143,149,6,-0.19809439523696898,True
61,74,13,-0.1983450952267647,True
112,156,44,-0.1999837247630954,True
109,158,49,-0.20238949420452118,True
42,95,53,-0.20243492662906645,True
109,156,47,-0.202475088095665,True
4,111,107,-0.20266102988719942,True
2,107,105,-0.20320967485666275,True
60,73,13,-0.20447469307422636,True
114,153,39,-0.20564961373418572,False
114,152,38,-0.2064081339022517,True
3,111,108,-0.20905077966451646,True
41,94,53,-0.20978756183624267,True
8,113,105,-0.210507578445673,True
144,149,5,-0.2105939674663544,False
142,150,8,-0.2108500260680914,True
